number_of_series,SAST,SASTE,SASTE-fixed,STC
32,7.544011831283569,12.282667398452759,6.379472494125366,144.51217818260193
64,3.19700288772583,12.191544771194458,6.275069952011108,552.8354525566101
128,3.6538379192352295,12.902003049850464,6.271534204483032,1895.1218748092651
256,4.65578031539917,13.071191549301147,6.380629539489746,5149.940110683441
512,6.880563974380493,13.839276313781738,6.684483528137207,16944.672053813934
1024,10.670410633087158,14.74576473236084,7.301477909088135,59360.01476621628
2048,18.804933786392212,17.00394630432129,8.907382249832153,236962.99678349495
