classifier,dataset,acc_mean,acc_std,train_time_in_sec_mean,train_time_in_sec_std,test_time_in_sec_mean,test_time_in_sec_std
SAST-RF,SmoothSubspace,0.8386666666666667,0.03303869784897032,1.3048124313354492,0.9553773018856573,0.13265700340270997,0.000977040261044305
SAST-RF,ItalyPowerDemand,0.9016520894071915,0.020792348486400544,0.5452849388122558,0.021392960305731932,2.3852243423461914,0.009664577490297813
SAST-RF,Chinatown,0.9725947521865889,0.002973189220753798,0.23671221733093262,0.001619285414396975,0.8102586269378662,0.008021185307307156
SAST-RF,MelbournePedestrian,0.6428864288642886,0.014677917727110738,114.89527916908264,5.711701766290371,28.02439351081848,0.07482532334019897
SAST-RF,Crop,0.041666666666666664,0.0,2975.5788165092467,2.647070357156593,3470.396702575684,2.4665605087979126
SAST-RF,SyntheticControl,0.9773333333333334,0.008793937305515266,88.71839094161987,0.5927962037654482,35.11474170684814,0.08367357716625802
SAST-RF,SonyAIBORobotSurface2,0.9022035676810074,0.014469938447797013,1.9305959701538087,0.010630103597288418,47.30582489967346,0.1606718382384571
SAST-RF,SonyAIBORobotSurface1,0.8712146422628951,0.035555967758251136,1.7727248191833496,0.028309441313962656,37.48994359970093,0.11350140991235699
SAST-RF,DistalPhalanxOutlineAgeGroup,0.7280575539568345,0.015362702520908352,100.31742191314697,0.32113721354532687,19.55938220024109,0.027541937656609113
SAST-RF,DistalPhalanxOutlineCorrect,0.7144927536231884,0.015942028985507263,100.27576909065246,4.752685435508682,25.823879337310792,0.06417857854992441
SAST-RF,DistalPhalanxTW,0.6776978417266187,0.005383679693199917,205.27878856658936,1.0908002096408125,39.01133127212525,0.04953661117423095
SAST-RF,MiddlePhalanxOutlineAgeGroup,0.6038961038961039,0.037863323992501946,98.12040529251098,0.8411284377775595,21.630204486846925,0.02281010706221732
SAST-RF,MiddlePhalanxOutlineCorrect,0.6350515463917525,0.035206181374201236,101.62643671035767,2.900729785983955,27.284228324890137,0.052822882901654815
SAST-RF,MiddlePhalanxTW,0.5584415584415584,0.0,193.71674327850343,0.6202614065804447,43.33041205406189,0.12289811149159485
SAST-RF,PhalangesOutlinesCorrect,0.6694638694638695,0.009015887928118279,294.9964256286621,1.4794776184678378,80.28663072586059,0.0789724479924967
SAST-RF,ProximalPhalanxOutlineAgeGroup,0.838048780487805,0.011293499417356327,103.32178335189819,1.009082776624998,28.80898118019104,0.04965658317710735
SAST-RF,ProximalPhalanxOutlineCorrect,0.8192439862542955,0.02045756160293775,100.12738084793091,2.0293835424752253,27.30533676147461,0.06689109550215226
SAST-RF,ProximalPhalanxTW,0.8029268292682927,0.004974653183992965,218.29245796203614,0.9551730137350288,57.54545726776123,0.10795579028316069
SAST-RF,TwoLeadECG,0.9643546971027218,0.021815926237748678,3.0902265548706054,0.02992248117551368,114.9156259059906,0.28325465571035935
SAST-RF,MoteStrain,0.9169329073482426,0.018276603495161105,2.8859259605407717,0.035141255169943736,135.87086310386658,0.1466207622201283
SAST-RF,ECG200,0.8200000000000001,0.026076809620810566,24.75349931716919,0.23946881191021263,16.34748258590698,0.05921907672403945
SAST-RF,ElectricDevices,0.5139929970172481,0.002149172090350586,8668.346181154251,180.64880795995742,4393.812495231628,1.5782989370242668
SAST-RF,MedicalImages,0.528157894736842,0.006688560540599414,623.6926915645599,4.839633740918972,679.751994895935,0.4457729571946151
SAST-RF,CBF,0.9564444444444444,0.002154524381073908,22.4803747177124,0.057189569875043166,528.0258269309998,0.5000822188281264
SAST-RF,SwedishLeaf,0.8508800000000001,0.011599724134650774,3863.8660754203797,62.04043800484133,1833.4268573284148,0.7545724980316809
SAST-RF,TwoPatterns,0.9340999999999999,0.012902131606831497,1326.6713973999024,2.186064062782218,3129.2217305660247,1.8169172341303432
SAST-RF,BME,0.892,0.025438378704451897,22.55514430999756,0.040885679290156955,88.04172234535217,0.0957535686804405
SAST-RF,FaceAll,0.7009467455621301,0.01459320838718569,4990.4543210983275,31.88121384793835,4967.69590291977,1.8068596522830789
SAST-RF,FacesUCR,0.7699512195121951,0.023994050422576494,1394.2257155418397,6.927858659453302,6025.947826957703,2.976976450934371
SAST-RF,ECGFiveDays,0.9979094076655052,0.001137974328819121,12.645284795761109,0.028517396084915093,405.1785497188568,0.3465280477617929
SAST-RF,ECG5000,0.9268000000000001,0.0016724344641979487,930.8984534740448,2.1718510660759516,5780.607792806625,1.9678384998952914
SAST-RF,Plane,1.0,0.0,334.1412744998932,1.3287076633359167,205.75655217170714,0.2859042709406836
SAST-RF,PowerCons,0.8733333333333333,0.04103596736137643,141.3405072212219,1.872468496069671,100.78331742286682,0.17197677545411202
SAST-RF,GunPoint,0.9733333333333334,0.0059628479399994275,36.67134194374084,0.17496648856397762,95.10556859970093,0.11082946076406835
