classifier,dataset,acc_mean,acc_std,train_time_in_sec_mean,train_time_in_sec_std,test_time_in_sec_mean,test_time_in_sec_std
STC-0,ArrowHead,0.592,0.0668937628647401,15.178833484649658,0.40626357245976746,5.5157547950744625,1.3947426278825872
STC-1,ArrowHead,0.6274285714285714,0.05638352632477263,15.188290405273438,1.0585412754692147,5.45702052116394,1.9843246403500445
STC-2,ArrowHead,0.68,0.048352447545842704,29.99172158241272,1.5074646720751317,12.095862531661988,3.0545132012202174
STC-5,ArrowHead,0.7051428571428572,0.03439981015609694,75.03826842308044,1.6780654204054761,27.94897379875183,2.6817843564173693
STC-9,ArrowHead,0.7371428571428572,0.05445087656947016,134.84561314582825,2.2488711691517254,48.7074478149414,3.817167319480216
STC-0,Coffee,0.9357142857142857,0.03499271061118824,48.14645533561706,5.613276584602611,3.919341468811035,2.7570123512859546
STC-1,Coffee,0.9642857142857142,0.03194382824999698,46.53112320899963,3.912765088337676,3.6256891250610352,1.2587447946429915
STC-2,Coffee,0.9571428571428571,0.03499271061118824,75.85551438331603,14.179100807498324,5.132858514785767,0.5719731982586393
STC-5,Coffee,0.9785714285714284,0.02857142857142856,134.75051107406617,68.87317450077934,7.892607879638672,2.782071613554073
STC-9,Coffee,1.0,0.0,168.49180312156676,95.55811925737392,9.470510339736938,6.02580613691295
STC-0,BeetleFly,0.79,0.12000000000000001,83.08640952110291,12.823083034306295,14.43998579978943,7.553366656674298
STC-1,BeetleFly,0.74,0.05830951894845302,72.44185519218445,8.034613440740982,15.173777341842651,3.579571402419097
STC-2,BeetleFly,0.78,0.060000000000000005,116.00508127212524,26.7148434700346,12.140848016738891,4.773934196944653
STC-5,BeetleFly,0.8,0.04472135954999579,186.76392683982849,59.22858832834772,22.08277349472046,9.920006523297475
STC-9,BeetleFly,0.7,0.1140175425099138,230.70368685722352,115.63995145386475,26.364131212234497,13.78765142577628
STC-0,BirdChicken,0.9,0.06324555320336758,66.30640301704406,5.809268553374397,7.839727544784546,1.6088918861076862
STC-1,BirdChicken,0.76,0.1019803902718557,65.01961216926574,7.148761877577771,4.5765434265136715,1.7421561087898259
STC-2,BirdChicken,0.7200000000000001,0.05099019513592786,99.35341596603394,19.624030179248056,11.753642654418945,5.174064921633792
STC-5,BirdChicken,0.86,0.1392838827718412,177.92202162742615,58.74784385336005,20.61509304046631,7.073045795187436
STC-9,BirdChicken,0.82,0.11224972160321824,243.03792929649353,178.03467826962074,16.989439153671263,5.750018479496848
STC-0,CBF,0.8926666666666667,0.039756046205282336,24.766536045074464,9.369483882858567,133.93425831794738,25.475710986214214
STC-1,CBF,0.8777777777777777,0.09377672458597641,25.350164794921874,10.984070554537325,113.02196455001831,21.563311634457037
STC-2,CBF,0.9219999999999999,0.01598456045187063,50.83613448143005,18.844882819757533,127.37270870208741,20.170343670531384
STC-5,CBF,0.9408888888888889,0.01932694658236345,84.77477283477783,12.2366637876918,146.3463827610016,33.84494297342424
STC-9,CBF,0.9648888888888889,0.00949593805298732,112.10990905761719,34.60569706361522,157.15731225013732,83.44108922907508
STC-0,Car,0.65,0.018257418583505554,435.694165802002,269.24160616473995,12.568417692184449,7.026584222447854
STC-1,Car,0.6566666666666666,0.04163331998932263,440.55784821510315,220.44956094348458,13.168492746353149,6.689607721971003
STC-2,Car,0.7200000000000001,0.0661647774709307,585.8136977672577,180.6164655839586,19.158375835418703,7.906896978227173
STC-5,Car,0.7533333333333334,0.0244948974278318,1334.8165159225464,674.5485035782425,47.841078233718875,29.426821482660127
STC-9,Car,0.7833333333333333,0.03162277660168382,1508.617631816864,850.1305181160108,43.12268252372742,3.800260633236564
STC-0,DistalPhalanxOutlineAgeGroup,0.730935251798561,0.019088488002045455,575.829239320755,25.19855727190258,5.705759000778198,0.9899312299111961
STC-1,DistalPhalanxOutlineAgeGroup,0.7136690647482015,0.018979720803270383,575.2956528186799,28.840969182536647,7.0277129173278805,1.308340495733156
STC-2,DistalPhalanxOutlineAgeGroup,0.7352517985611511,0.016655880435669394,930.4118158340455,190.07393809675798,8.591638803482056,5.5327700661789905
STC-5,DistalPhalanxOutlineAgeGroup,0.7568345323741008,0.008389858841504026,1582.1186248779297,678.4719066199148,7.90970630645752,1.5401698279089369
STC-9,DistalPhalanxOutlineAgeGroup,0.7568345323741007,0.0028776978417266452,2001.5483555316926,980.6653760682603,10.678552532196045,3.440357247814455
STC-0,DistalPhalanxOutlineCorrect,0.6586956521739131,0.011084825029549541,798.1870496273041,17.32854913267771,7.266326808929444,1.4144618835967684
STC-1,DistalPhalanxOutlineCorrect,0.6565217391304348,0.012840612425122726,794.5906651973725,28.023273201276748,7.954863500595093,1.643130823068861
STC-2,DistalPhalanxOutlineCorrect,0.6652173913043479,0.01040050731478792,1259.9123502254486,283.79260765142243,7.213807392120361,2.6867902951671314
STC-5,DistalPhalanxOutlineCorrect,0.6905797101449275,0.0126759823800985,2177.1736557483673,799.3767057499044,13.36098608970642,5.621535232364777
STC-9,DistalPhalanxOutlineCorrect,0.6905797101449276,0.021569385603097426,2654.8120383262635,936.9797315644328,18.7136118888855,1.8171910650278653
STC-0,DistalPhalanxTW,0.651798561151079,0.005755395683453251,1000.8768724918366,54.026859699679605,6.911672115325928,1.8330402940801425
STC-1,DistalPhalanxTW,0.6690647482014389,0.010174198290453905,941.2861526489257,46.87124473379883,11.436578035354614,7.414162118847138
STC-2,DistalPhalanxTW,0.6575539568345323,0.013343335964742015,1527.1686861991882,318.1354781963765,9.742159938812256,4.500521677908579
